neg_genes_fdr0.01	pos_genes_fdr0.01	neg_genes_fdr0.1	pos_genes_fdr0.1	con_neg_genes_fdr0.01	con_neg_genes_fdr0.1	sample_id
-0.38559067481023	0.375963565336662	-0.34480055219973	0.219860408219685	0.0872543274959386	0.142837895101581	TCGA.3N.A9WB
-0.0901098444706574	0.540206796199123	-0.0666026824874496	0.452654116902084	0.0820784301665472	0.132339147610094	TCGA.3N.A9WC
-0.210023180284257	0.498827526784981	-0.157891517670257	0.396796897094474	0.0629971477850899	0.131955667226693	TCGA.3N.A9WD
-0.379491369292054	0.318353231702938	-0.332141375409442	0.205019977570533	0.0597920338177644	0.142297250880007	TCGA.BF.A1PU
-0.324302495508742	0.282003643878433	-0.28547572249261	0.173895156073966	0.0976654425236846	0.135011069431539	TCGA.BF.A1PV
-0.0906397933260155	0.5306461079068	-0.068440596194128	0.449798134105071	0.105969578494209	0.13525172711993	TCGA.BF.A1PX
-0.261295123660002	0.445739422640431	-0.229372630782266	0.324148045105317	0.106028428239866	0.144209784385855	TCGA.BF.A1PZ
-0.232346143262539	0.463693861782952	-0.199226625079265	0.365055463385992	0.0656551667495335	0.126405881018555	TCGA.BF.A1Q0
-0.273705334795373	0.479416431322112	-0.238908575394603	0.357280963938213	0.137499180629368	0.133553400612914	TCGA.BF.A3DJ
-0.304699166135266	0.408170530085209	-0.27306945889891	0.312194013165051	0.088263812430471	0.130247731845885	TCGA.BF.A3DL
-0.394694491983007	0.483091718377468	-0.34964484442201	0.33978803082049	0.0906372598152691	0.121037951835508	TCGA.BF.A3DM
-0.322550942145913	0.395790180456399	-0.289070146370392	0.248698566504239	0.112130575618709	0.136356855781928	TCGA.BF.A3DN
-0.222450877170132	0.479210491532685	-0.185253445393287	0.388761862843117	0.110940302742173	0.129087801371101	TCGA.BF.A5EO
-0.333547590142092	0.375156729098725	-0.303521980528786	0.271313714893945	0.0861743642405908	0.134459113239798	TCGA.BF.A5EP
-0.178670354287056	0.452153069184571	-0.146519007370408	0.353171244679784	0.084346561956312	0.137373309621889	TCGA.BF.A5EQ
-0.347294619292888	0.311841011395354	-0.319042726932227	0.252823797835995	0.0704139080231946	0.131021992406611	TCGA.BF.A5ER
-0.229967046126144	0.434925015110501	-0.199162809437813	0.331158646930814	0.0915947087863064	0.136863192766629	TCGA.BF.A5ES
-0.332377374642046	0.239634351074067	-0.295342197441405	0.205352218001378	0.0998183688297512	0.138250072177301	TCGA.BF.A9VF
-0.271529086572057	0.47396010857485	-0.224325543241186	0.374760448091488	0.0732357698834806	0.141877970575745	TCGA.BF.AAOU
-0.293702176580138	0.326109843822004	-0.250110815471436	0.236063116523142	0.0816727599777379	0.135644777582384	TCGA.BF.AAOX
-0.0567962334011995	0.547427605920447	-0.0154535214592565	0.455910623903904	0.108316945707792	0.125100628586114	TCGA.BF.AAP0
-0.352981178614474	0.417733950264447	-0.322584745164677	0.269722595595704	0.0539893539786642	0.130998452004605	TCGA.BF.AAP1
-0.241661902340315	0.448608875388511	-0.207716803550369	0.36074405789212	0.0941543319274819	0.137346997833365	TCGA.BF.AAP2
-0.133326765874113	0.489973159112605	-0.122425863657511	0.402372136240495	0.0861526688634708	0.153738204609125	TCGA.BF.AAP4
-0.32957027655286	0.343832202037056	-0.297545104779026	0.24489737196389	0.129180815333911	0.132067771973015	TCGA.BF.AAP6
-0.118258624309139	0.547817826265609	-0.101185446360056	0.46368045642349	0.115746646053786	0.136052282087131	TCGA.BF.AAP7
-0.290243616524879	0.43532515215212	-0.263992368704736	0.310731345056329	0.0865127864538124	0.141102166590989	TCGA.BF.AAP8
-0.352071587633038	0.246154714011082	-0.318321671533524	0.149496187272131	0.092002922087439	0.125329485688153	TCGA.D3.A1Q1
-0.157074795475238	0.439766648390002	-0.124456054828484	0.344401002472755	0.106778204468048	0.137971901844058	TCGA.D3.A1Q3
-0.307950273811402	0.396848043732009	-0.260630025552615	0.250659862702429	0.113643813896163	0.133019784588583	TCGA.D3.A1Q4
-0.369711888758562	0.310151632072409	-0.328342326546945	0.180772130959178	0.0887179518972541	0.117090122329798	TCGA.D3.A1Q5
-0.277076418391986	0.443014582728279	-0.243103572437658	0.327932338508484	0.102906584926597	0.152575683348751	TCGA.D3.A1Q6
-0.0625918041059512	0.545492304180247	-0.0385027620867179	0.477704966921857	0.115452679089311	0.13468524225755	TCGA.D3.A1Q7
-0.280032718424499	0.413859304700991	-0.228508262769065	0.280946819732187	0.100132247886898	0.130874529848087	TCGA.D3.A1Q8
-0.203914296950143	0.456820352354754	-0.170139432413368	0.354181394211794	0.111341924775253	0.124273130672978	TCGA.D3.A1Q9
-0.218851196233762	0.414170414750842	-0.183331857196324	0.299300298800944	0.0936639601544615	0.137989658648851	TCGA.D3.A1QA
-0.0484238819631481	0.541611779138239	-0.0249820595362881	0.469072109430693	0.127131281737425	0.128313045078187	TCGA.D3.A1QB
-0.186754527587699	0.469854012342125	-0.163974404636906	0.377818056418538	0.102802090673737	0.1389650994274	TCGA.D3.A2J6
-0.176370783033233	0.504851267765706	-0.144381883909029	0.387316928569804	0.102285440705998	0.13541520054363	TCGA.D3.A2J7
-0.0418508944207222	0.550632531937632	-0.0117235387426734	0.473861433169758	0.11349236258966	0.140141905401526	TCGA.D3.A2J8
0.0423675146659006	0.565042394593619	0.0684623623919069	0.487894703784568	0.0991226051339948	0.129541426599789	TCGA.D3.A2J9
-0.229480721974356	0.501552182264948	-0.207071954471765	0.395238110644237	0.106087612703976	0.151924933579272	TCGA.D3.A2JA
