CytotoxicTcell	ExhaustedTcell	fixed_exhuasted	plastic_exhuasted	CD8_NeoTCR8	etl_272	etl_28	Exhausted_CD8_T_cells	Memory_T_cells	CD8_GZMK_early_Tem	CD8_GZMK_Tem	CD8_terminal_Tex	Terminally_Exhausted	Tumor_specific_Activated	singer_Cytolytic_Tcell	singer_Exhausted_Tcell	Cytolytic_activity_Hanjie	ExhaustedTcell_Hanjie	sample_id
-0.261663831485998	-0.218008503845852	0.00478389693465847	0.0727199902782482	0.283850851098662	0.354658677374047	0.19078539967586	0.115045859578089	0.0430503800065894	0.00415261316514776	0.111086247887907	-0.0589234803358536	0.277656560646895	0.315164181587206	0.382590763115071	0.217771989505027	-0.0156192976605828	0.0551190748209592	TCGA.3N.A9WB
0.328607267610192	0.300091699196207	0.157544514025356	0.152287943398788	0.397522158137246	0.403039249405698	0.413284569988661	0.349523836425893	0.170056659089763	0.250325528109944	0.523148536278612	0.256889678551676	0.4552515035326	0.447555747343402	0.361244508392924	0.274448640439416	0.197513583980606	0.336962492701819	TCGA.3N.A9WC
0.180906073373469	0.00844952947065405	0.156568380280711	0.195185157808594	0.371283827705216	0.385610126267502	0.346234535160513	0.256141924732907	0.20255303483567	0.190486889229834	0.427713597410366	0.125104123293262	0.397940733078872	0.423125064871141	0.352328705963662	0.260937293334015	0.175620610624105	0.194134788603914	TCGA.3N.A9WD
-0.253213195954583	-0.281672575192604	0.00182586196547369	0.151778594511552	0.27098546377749	0.343029547769708	0.212542838350263	0.104302371453816	0.0369670794054138	0.0330551648106093	0.168702932643556	-0.0559219823728863	0.254368228572618	0.293272554099423	0.360023014834521	0.238412631934844	0.0168051743933798	0.0730841576696511	TCGA.BF.A1PU
-0.213580132884949	-0.198640777331193	0.0554237912902822	0.0586507239892374	0.274391431370506	0.353377527751011	0.214625757310114	0.113948424547044	0.0184924963446007	0.06671875607431	0.175871411366927	0.00718547773751609	0.273825055361733	0.316656765055856	0.373584088590919	0.24631421488026	0.0151331348133374	0.101155357196611	TCGA.BF.A1PV
0.402633902994063	0.220275743940267	0.234568481528546	0.188540819710639	0.420842425934899	0.382687101431916	0.359777539131147	0.333699284237021	0.185173172584244	0.215910072549467	0.51974637578225	0.193748208927073	0.469601751298922	0.396762723970013	0.347943109184405	0.275137807052971	0.203581773189693	0.260410489659081	TCGA.BF.A1PX
0.037398462752885	-0.0453471280966013	0.0270946606283884	0.107933470247535	0.318359735860083	0.357407479367555	0.23762550501396	0.187524138528292	0.0621565377895131	0.0500142956853413	0.306523102859965	0.0431719159715993	0.361315533443164	0.330821095839507	0.375034165184325	0.263656863071372	0.0552847958571191	0.145726041668344	TCGA.BF.A1PZ
0.0746218645567133	-0.0587039012663365	0.0288970486581766	0.149051578354301	0.33021589691913	0.372162220104238	0.312605881702374	0.209650829561184	0.101022707274155	0.121752539438218	0.38609260424352	0.12318632195423	0.36268521016784	0.371877753350456	0.385976761696929	0.24431323437141	0.123572566081447	0.158157772692369	TCGA.BF.A1Q0
-0.0335251094920807	-0.0882449065748957	0.151058548201213	0.127021302013161	0.341659680363694	0.370152196148481	0.310859816223257	0.206644211594379	0.103286607992452	0.109955518455488	0.392066621680599	0.0822051181268056	0.375573799559852	0.357726085026294	0.352326382162196	0.252059451914975	0.175726833084235	0.194030864289531	TCGA.BF.A3DJ
-0.041313280930532	-0.021700234353189	0.0103479001381688	0.147934755347903	0.31018333932615	0.345031278504419	0.222020756442185	0.163438890284717	0.0495575186634479	0.0437330244374906	0.263162220651463	0.0251615632932957	0.334803900754685	0.296717586184625	0.362544871774446	0.239810104386836	0.061922663630861	0.116495786398514	TCGA.BF.A3DL
-0.285247615391598	-0.208981986633189	0.0387841423223352	0.0447032595227451	0.286333770678221	0.350779267656359	0.240529708885019	0.151343455446592	0.068867650385592	0.0719022015661266	0.212094238108482	-0.0131131995169944	0.33586448910555	0.291912585701014	0.350539957393672	0.246886197025763	0.0702511803521104	0.0682887789155999	TCGA.BF.A3DM
-0.168447994853061	-0.214375849690961	0.116199695367445	0.133770242656565	0.297342948074622	0.368094963948258	0.280450582614166	0.144216372878117	0.0876169028674503	0.108520356026043	0.250344299383509	0.0245027447293079	0.309433791505265	0.356676678530381	0.357931230783651	0.258620599474849	0.0837349550622877	0.109440986557595	TCGA.BF.A3DN
0.0902275811721663	0.0710948871798865	0.108674078696484	0.126490202848036	0.362156921381672	0.343427418117508	0.282490620579195	0.223654464546011	0.107225998715348	0.0781272322427212	0.392056429565769	0.110754092999777	0.367532610374696	0.347275914905117	0.341341243530159	0.261059784825952	0.132702127406816	0.181388920599566	TCGA.BF.A5EO
-0.147423199283492	-0.158253108307302	0.00464579128313895	0.112531890501266	0.297027293826965	0.356870524267946	0.27103178752604	0.130857460925732	0.0366697388616615	0.0847528337456935	0.224222006054583	0.010519131373307	0.291879556639838	0.338167342273027	0.356806704541779	0.242937594838745	0.0171317842979743	0.0905118151274373	TCGA.BF.A5EP
0.173008420943319	0.0375390580943693	0.133777044780225	0.169176181856097	0.355936345642755	0.377754491966445	0.343143033550242	0.240782213303983	0.130656734908463	0.191721109552161	0.429732107059068	0.127719216535704	0.35892496252676	0.372390410583852	0.35888452321791	0.275215837511102	0.124583259698603	0.227614171171385	TCGA.BF.A5EQ
