Intercept	ext	gene_t_value	ext_gene_t_value	Intercept_p_t_value	ext_p	gene_p	ext_gene_p	gene_symbol	ext_gene_FDR
-6.03625246398243	6.21372049246587	2.17870459934664	-0.479391119117892	0.00000000322703929670205	0.00000000115061144318172	0.0298550617251615	0.631885788027791	A1BG	0.999039994641631
-18.2658664138534	25.8562000052809	-0.808785410422484	0.407537865630034	1.38733903413065e-56	5.10457558664758e-92	0.419052197934971	0.683800543242833	A1CF	0.999039994641631
-18.4943347851878	26.3345604241502	-0.396658737633296	-0.780919523280086	1.21001650577204e-57	3.19870598174869e-94	0.691801104322393	0.43524720120015	A2BP1	0.999039994641631
-4.26226115637179	6.34368217201038	-1.39511415948824	0.410261480566881	0.0000245140495825283	0.000000000532556104025646	0.163647380792315	0.681803102808603	A2LD1	0.999039994641631
-2.48544020085355	4.92612788949043	-1.06514708089854	-0.802807362648258	0.0132895425872117	0.00000116787892694652	0.287362136035548	0.422496217976002	A2M	0.999039994641631
-16.3048771672198	24.1616232788917	-2.29543959462312	1.24291152966817	1.34537469745396e-47	3.69623658153483e-84	0.0221522300813906	0.214526790925985	A2ML1	0.996169717520114
-7.93573396026884	10.9541773497289	-0.494151549907788	-0.253612040637108	1.57805862932033e-14	5.35244024832034e-25	0.621432501960109	0.799907386836743	A4GALT	0.999039994641631
-14.4620397322812	19.8557755250042	-0.945674789615871	1.16621365955673	2.07449680773307e-39	5.44336758302203e-64	0.344805616950251	0.244125855376778	A4GNT	0.999039994641631
-18.4104638502818	26.1429645015892	-0.661807746032194	0.331805486847295	2.96433498926996e-57	2.43443426456737e-93	0.508422261824869	0.740185639227059	AAA1	0.999039994641631
-2.47238245327204	2.68114472101637	1.0936506177482	-0.957498874569803	0.0137783181421387	0.00759790296733474	0.27467445700927	0.338813062183744	AAAS	0.999039994641631
-2.79185255234213	5.2994211393744	-0.642252124801784	-0.475482311364918	0.00545658368515148	0.000000179766754534312	0.521025998349734	0.634666516409994	AACS	0.999039994641631
-16.4719224645026	23.6598374561992	-1.17104053104927	1.44365054642748	2.357428735368e-48	8.10820118462385e-82	0.242182220790422	0.149510660606637	AACSL	0.97429632904411
-17.4178332566427	25.133290853207	-1.35528539130535	1.37656083708122	1.13401668902432e-52	1.12487949694945e-88	0.175984599796286	0.169310512899892	AADAC	0.989188502633207
-17.6994807820426	25.7759239947537	-1.78878970631069	0.868929526169756	5.741488176821e-54	1.19783946680451e-91	0.0742995076896252	0.385333942270131	AADACL2	0.999039994641631
-18.6427283189309	26.370877674925	0.112245844419483	-0.170498102320495	2.47548983458268e-58	2.17792474457132e-94	0.910676917645832	0.864692584905819	AADACL3	0.999039994641631
-18.4484499832785	25.8010474604886	0.0598356273826098	-0.353276832690763	1.97567562078599e-57	9.17154113082495e-92	0.952312256431147	0.724041011236358	AADACL4	0.999039994641631
-6.66308378991504	13.3454452286399	-2.00396750117021	-0.531619748938158	7.60062189860011e-11	1.26563034767083e-34	0.0456530715495038	0.595243251244368	AADAT	0.999039994641631
-0.738031799934224	2.92812250440192	-1.81275780451875	0.346686838418739	0.460867415097662	0.0035775243995644	0.0705138951302573	0.728983428993352	AAGAB	0.999039994641631
-4.19314885798307	7.65522133417161	-1.08513069761604	-1.00954270430908	0.0000329471410740135	1.12554525894668e-13	0.278426025497836	0.313239456580961	AAK1	0.999039994641631
0.146178874174541	0.409329623420804	-1.35797229417744	1.23273982953894	0.883843530707915	0.682486255866321	0.175131022541092	0.218295720692346	AAMP	0.999039994641631
-13.9926516459338	17.4463192263966	1.13187581542627	0.854075335068532	2.22500715806653e-37	8.39015496208206e-53	0.258270002448642	0.393503019307838	AANAT	0.999039994641631
-1.59531285201001	4.04255736543515	-0.229172137572546	-1.67797701295678	0.111321683103973	0.0000618729608842115	0.818835888460318	0.0940235062116057	AARS	0.933548247993164
0.0314541372913073	2.66150166664087	-2.91373887779003	1.43623280727746	0.974920863085533	0.00804857884025563	0.00374339937225186	0.151608507944732	AARS2	0.97429632904411
-1.21682169359292	3.0737932131629	-0.277469557384099	-0.97966257540275	0.224289297046352	0.00223782318212754	0.781542891982114	0.327762114608262	AARSD1	0.999039994641631
-1.37494635828824	6.81126920280975	-4.13856497129934	0.176230494508206	0.169810198607804	3.00268223214705e-11	0.0000414939930139328	0.860189587836491	AASDH	0.999039994641631
-0.442285079705892	5.54936475006537	-3.22486968159206	-0.88039137289489	0.658488565545702	0.0000000482281351599296	0.00134906235043231	0.379102109219766	AASDHPPT	0.999039994641631
-4.0080890702578	8.56401894368358	-2.03288581007426	-0.566029112093559	0.0000712793698102703	1.60993771430867e-16	0.0426316147099257	0.571647040432587	AASS	0.999039994641631
-3.13096786485483	2.5935803293767	1.71912263490905	-0.778571722015405	0.00185207936379533	0.00979776572550261	0.0862575525384822	0.436628043668659	AATF	0.999039994641631
-9.01597809015638	12.3121408279636	0.487905496353013	0.307394892316428	5.11460966032628e-18	2.391454228689e-30	0.625846748506683	0.758680438678287	AATK	0.999039994641631
-9.25079535867076	12.6188158546355	-2.61276646606376	0.84834153214444	8.12582672629339e-19	1.3378705409741e-31	0.00927210153163898	0.396684272511187	ABAT	0.999039994641631
-6.03304012506363	8.71417861707108	-1.73962753404729	-0.0284223682463836	0.00000000328711528989386	5.18836646980963e-17	0.0825861149560154	0.977337478106755	ABCA1	0.999375635158775
-13.2194165109904	21.2866840710787	-2.87958480233359	0.0432626959571081	4.28827263903477e-34	1.06842046301753e-70	0.00416573162943987	0.96551069841551	ABCA10	0.999187374654846
